"Category","Notice_type","Notice_desc","Company_name","Company_number","Date"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MARQUIS & CO. (VALUERS) LIMITED (00937642)","MARQUIS & CO. (VALUERS) LIMITED","937642",2019-11-14
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MANELEC LIMITED (10017941)","MANELEC LIMITED","10017941",2019-12-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MEZZANINE FLOORS (HULL) LIMITED (04026032)","MEZZANINE FLOORS (HULL) LIMITED","4026032",2019-12-20
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CROFTSHINE LIMITED (02643685)","CROFTSHINE LIMITED","2643685",2019-12-23
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DECELLIE LTD (08449471)","DECELLIE LTD","8449471",2020-01-03
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ZERIFA LIMITED (06011856)","ZERIFA LIMITED","6011856",2020-01-14
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GROUND EARTH LIMITED (07237007)","GROUND EARTH LIMITED","7237007",2020-01-23
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LONDON’S RUIN LIMITED (10676636)","LONDON’S RUIN LIMITED","10676636",2020-01-23
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for COLL-CATS LTD (10450725)","COLL-CATS LTD","10450725",2020-01-28
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for APEX TIMBER FRAMES LTD (10525008)","APEX TIMBER FRAMES LTD","10525008",2020-02-06
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CREATIVE INTERNAL COMMUNICATIONS LIMITED (10475081)","CREATIVE INTERNAL COMMUNICATIONS LIMITED","10475081",2020-02-11
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RADFORD GROUP (MINORIES) LTD (11168734)","RADFORD GROUP (MINORIES) LTD","11168734",2020-02-14
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ABBEY HEALTH CARE LIMITED (05279990)","ABBEY HEALTH CARE LIMITED","5279990",2020-02-14
